#This dataset contains all Airdisasters from the past 20 years;;;;;;;;;;;;;;;;;
date;type;registration;operator;location;first_flight;crew;passengers;aircraft_damage;phase;nature;departure_airport;destination_airport;narrative;time;airplane_type;airline;accident_date
29-apr-14;DHC-8-402Q Dash 8;5N-BPT;Aerocontractors;Lagos-Murtal...;2002;Fatalities: 0 / Occupants:;Fatalities: 0 / Occupants:;Substantial;Standing (STD);Domestic Scheduled Passenger;Lagos-Murtala Muhammed International Airport (LOS/DNMM), Nigeria;Kaduna Airport (KAD/DNKA), Nigeria;"A DHC-8-400 belonging to Aerocontractors Nigeria was parked on the ramp at Lagos' Murtala Muhammed Airport, Nigeria. As passengers were boarding the aircraft, a baggage loader vehicle rammed through the pressurized area of the lower fuselage
section of the cargo compartment on the port side of the aircraft, damaging its skin, stringers and the baggage loader vehicle. 
The vehicle stopped at a distance of about 110 ft from the incident aircraft. The personnel who drove the baggage loader sustained
serious injuries from the impact resulting in the loss of consciousness.";06:40;de Havilland Canada DHC-8-402Q Dash 8;Aerocontractors Company of Nigeria;Tuesday 29 April 2014
4-jun-06;DC-10-10F;N68047;Arrow Air;Managua-Augu...;1973-05-04  (33 years 1 months);Fatalities: 0 / Occupants: 3;Fatalities: 0 / Occupants: 0;Damaged beyond repair;Landing (LDG);Cargo;Miami International Airport, FL (MIA/KMIA), United States of America;Managua-Augusto C Sandino Airport (MGA/MNMG), Nicaragua;The DC-10 cargo plane landed on runway 09 (8012 feet/2450 m long) but failed to stop. It overran the runway by approx 1140 ft (350 m) and came to rest after it had ran across the perimeter fence. The nosegear collapsed, causing substantial damage to the forward fuselage. A left wing fuel leak was quickly contained by the fire services. The aircraft also suffered substantial damage to the no. 1 and 3 engines.;05:10;McDonnell Douglas DC-10-10F;Arrow Air;Sunday 4 June 2006
10-MAY-2005;DC-9-51;N763NC;Northwest Airlines;Minneapolis-...;1976;Fatalities: 0 / Occupants: 5;Fatalities: 0 / Occupants: 94;Damaged beyond repair;Taxi (TXI);Domestic Scheduled Passenger;Columbus-Port Columbus International Airport, OH (CMH/KCMH), United States of America;Minneapolis-St. Paul International Airport, MN (MSP/KMSP), United States of America;"Northwest Flight 1495 departed Columbus (CMH) at 18:26 on a flight to Minneapolis (MSP). The flight was carried out by DC-9-51 N763NC. After takeoff, at some point below 4,000 feet altitude, when the slats were retracted, the MASTER CAUTION light illuminated. The co-pilot, who was pilot flying, observed the RUDDER CONTROL MANUAL annunciator light and then saw that the right hydraulic system pressure was about 1,000 pounds per square inch (PSI). The right engine hydraulic pump switch was selected to 'off' and the flight was continued while the captain referred to the NWA DC-9 Cockpit Operating Manual (COM) to complete the procedures. He also discussed the problem with maintenance control on the ground. The approach and landing at Minneapolis were briefed thoroughly. Approximately 18:50, the captain contacted dispatch to request that they ""call out the trucks"" for their arrival. At 19:01 the captain radioed to MSP center ""ah we got a hydraulic problem, we're gonna go ahead and declare an emergency. ah everything should be okay but just gonna have to land a little faster and we're gonna have the trucks standing and everything."" The landing gear was extended early in the approach because the crew was uncertain if they would have to use the Emergency Gear Extension Handle. This was not necessary as the gear extended successfully. The first officer flew a long slow downwind from Farmington to a downwind leg to runway 22. He turned onto the localizer course at an altitude about 3,000 feet. The flight was then cleared for the approach to runway 22. A safe landing was carried out at 19:23. After landing the flaps were retracted and the After Landing checklist was completed. The crew received taxi instructions, and after crossing runway 30L, he made a right turn onto taxiway A. They made a slight gradual turn into the gate area. He had just started to turn into the gate from taxiway A when the nose wheel steering failed. The first officer then advised Ground Control that they were experiencing steering problems and would probably have to be towed to the gate. He then called MAINT and told them the same thing. Then the captain 
lost the brakes. The first officer stated that he saw the captain's hands ""come up"" and apply reverse thrust. The airplane came to a stop. The first officer stated that he called maintenance again and told them that they had lost steering and brakes and that they needed to have the airplane chocked. maintenance asked if they would shut down the engines and the captain said, no, he needed them first officer the reversers. The first officer stressed that they needed to get somebody out there right away; they were in a very precarious situation. maintenance said they would have somebody out as soon as they could. The first officer made a PA announcement to the passengers telling them that the airplane was experiencing a system malfunction; they were going to stay put and then be towed to the gate. At 19:36 they began to slowly roll forward. The captain tried using the engine reverse thrust to stop the airplane, but the thrust reversers did not deploy. As the DC-9 started moving towards a Northwest Airlines A.319 (N368NB) and impacted the A.319 with a speed of approximately 16 mph. The DC-9 hit the aft part of the A.319 right wing after sliding under its horizontal stabilizer.";19:36;McDonnell Douglas DC-9-51;Northwest Airlines;Tuesday 10 May 2005
28-MAR-2005;Ilyushin Il-18D-40;CU-T1539;Aerocaribbean;Caracas-Simo...;1983;Fatalities: 0 / Occupants: 10;Fatalities: 0 / Occupants: 87;Damaged beyond repair;Takeoff (TOF);Int'l Non Scheduled Passenger;Caracas-Simón Bolívar International Airport (CCS/SVMI), Venezuela;Havana-José Martí International Airport (HAV/MUHA), Cuba;The aircraft failed to takeoff from runway 09 (9930 long). It overran the runway and came to rest on a small hill. The landing gear was sheared off in the slide, the engines sustained serious damage and the no. 1 engine had separated from its mountings.;16:15;Ilyushin 18D-40;Aerocaribbean;Monday 28 March 2005
05-MAY-1998;Boeing 737-282 Adv.;FAP-351;Peruvian AF, op.for Occidental Petroleum;near Andoas;1983-04-25  (15 years );Fatalities: 6 / Occupants: 8;Fatalities: 69 / Occupants: 80;Damaged beyond repair;Approach (APR);Domestic Non Scheduled Passenger;Iquitos-C.F. Secada Airport (IQT/SPQT), Peru;Andoas-Alferez FAP Alfredo Vladimir Sara Bauer Airport (SPAS), Peru;"The Boeing 737, which had just been in service with the Peruvian Air Force for a few weeks, was operating on a flight for Occidental Petroleum.
The plane was scheduled to arrive at Andoas at 21:17, but failed to arrive. The aircraft reportedly crashed around 21:30 in bad weather (rain) while on an NDB approach.";ca 21:30;Boeing 737-282;null;Tuesday 5 May 1998
6-aug-12;Embraer Phenom 300;CN-MBR;Dalia Air;St. Gallen-A...;2011;Fatalities: 0 / Occupants: 2;Fatalities: 0 / Occupants: 1;Substantial;Landing (LDG);Executive;Genève-Cointrin Airport (GVA/LSGG), Switzerland;St. Gallen-Altenrhein Airport (ACH/LSZR), Switzerland;"An Embraer 505 Phenom 300 corporate jet was damaged following a runway excursion accident at St. Gallen-Altenrhein Airport (ACH), Switzerland. All three on board survived.
The jet departed Genève-Cointrin Airport (GVA) about 15:00 on a flight to St. Gallen. It landed on runway 10 but overshot the runway, broke through a fence and came to standstill in a field.";15:40;Embraer EMB-505 Phenom 300;Dalia Air;Monday 6 August 2012
14-jun-04;Volpar Turboliner;N401CK;Bellair;near Kodiak Airpo...;1952;Fatalities: 1 / Occupants: 1;Fatalities: 0 / Occupants: 0;Damaged beyond repair;Approach (APR);Cargo;Anchorage-Ted Stevens International Airport, AK (ANC/PANC), United States of America;Kodiak Airport, AK (ADQ/PADQ), United States of America;"The Volpar Turboliner cargo plane, a stretched turbine conversion of a Beechcraft C-45G Expeditor, departed Anchorage-Ted Stevens International Airport on a commercial cargo flight at 09:55 local time. As the flight approached the destination airport of Kodiak, visibility decreased below the 2 mile minimum required for the initiation of the approach. The pilot entered a holding pattern, and waited for the weather to improve. After holding for about 45 minutes, the ceiling and visibility had improved, and the flight was cleared for the ILS 25 instrument approach. After the pilot's initial contact with ATCT personnel, no further radio communications were received. When the flight did not reach the destination airport, it was reported overdue. A search in the area of an ELT signal located the accident airplane on a hilly, tree-covered island. 

About one minute after the accident, a special weather observation was reporting, in part: Wind, 060 degrees (true) at 11 knots; visibility, 2 statute miles in light rain and mist; clouds and sky condition, 500 feet broken, 900 feet broken, 1,500 feet overcast; temperature, 46 degrees F; dew point, 44 degrees F. According to FAA records, the company was not authorized to conduct single pilot IFR operations in the accident airplane, and that the accident pilot was the operator's chief pilot. Toxicology tests revealed cocaethylene and chlorpheniramine in the pilot's blood and urine.";11:37;Volpar Turboliner;Bellair;Monday 14 June 2004
15-jun-15;Antonov An-2R;RA-84553;Vodoley;Tatsinsky Di...;1980-09-16  (34 years 9 months);Fatalities: 0 / Occupants: 1;Fatalities: 0 / Occupants: 1;Destroyed;Maneuvering (MNV);Agricultural;?;?;"The Antonov 2 aircraft impacted a field and burned 2 km from the Mikhailov Farm, Tatsinsky District, Rostov Oblast in Russia. The pilot escaped unharmed but the 14-year old passenger sustained injuries in the accident
The aircraft operated on flight to spray pesticide over a wheat field. The farmer's son was allowed on board by the pilot, although this was prohibited by regulations.
The airplane had just uploaded 400 kg of fuel and 1200 litres of pesticide. As the pilot positioned the aircraft for the first swath run, the engine lost power and quit. The airplane hit electricity wires and impacted the ground. The undercarriage was sheared off and a fire erupted. The aircraft was consumed by fire.

The aircraft did not have a valid Certificate of Airworthiness and the time between overhauls had been exceeded on 10 April 2015.";07:54;Antonov 2R;Vodoley LLC;Monday 15 June 2015
29-MAR-2018;ATR 42-500;XA-UAV;Aeromar;Mexico City-...;1995-11-08  (22 years 5 months);Fatalities: 0 / Occupants: 0;Fatalities: 0 / Occupants: 0;Substantial;Standing (STD);-;-;-;An ATR 72-600 of Aeromar (XA-UYY) was engaged in an engine test run when the aircraft jumped the chocks. It continued until the left hand engine impacted the rear fuselage of an Aeromar ATR 42-500 XA-UAV). The tail cone and rudder of the ATR 42 sustained substantial damage.;null;ATR 42-500;Aeromar;Thursday 29 March 2018
01-MAR-2012;Cessna 750 Citation X;N288CX;Asia Today Ltd.;near Egelsbach Ai...;2003;Fatalities: 2 / Occupants: 2;Fatalities: 3 / Occupants: 3;Destroyed;Approach (APR);Executive;Linz-Blue Danube Airport (LNZ/LOWL), Austria;Egelsbach Airport (EDFE), Germany;"A Cessna 750 Citation X corporate jet, N288CX, was destroyed in an accident near Egelsbach Airport, Germany. All five on board were killed.
The flight departed Linz Airport (LNZ), Austria on a flight to Egelsbach. The airplane was approaching runway 27 when the crew switched from IFR to VFR. Shortly afterwards the jet struck trees and came down in a wooded area. A fire erupted.";18:58;Cessna 750 Citation X;Asia Today Ltd.;Thursday 1 March 2012
25-feb-09;Boeing 737-8F2;TC-JGE;THY;near Amsterdam-Sc...;2002-01-24  (7 years 1 months);Fatalities: 4 / Occupants: 7;Fatalities: 5 / Occupants: 128;Destroyed;Approach (APR);International Scheduled Passenger;Istanbul-Atatürk International Airport (IST/LTBA), Turkey;Amsterdam-Schiphol International Airport (AMS/EHAM), Netherlands;"Turkish Airlines Flight TK1951, a Boeing 737-800, departed Istanbul-Atatürk International Airport (IST) for a flight to Amsterdam-Schiphol International Airport (AMS), The Netherlands. The flight crew consisted of three pilots: a line training captain who occupied the left seat, a first officer under line training in the right seat and an additional first officer who occupied the flight deck jump seat. The first officer under line training was the pilot flying. The en route part of the flight was uneventful.
The flight was descending for Schiphol and passed overhead Flevoland at about 8500 ft. At that time the aural landing gear warning sounded.
The aircraft continued and was then directed by Air Traffic Control towards runway 18R for an ILS approach and landing. The standard procedure for runway 18R prescribes that the aircraft is lined up at least 8 NM from the runway threshold at an altitude of 2000 feet. The glidepath is then approached and intercepted from below. Lining up at a distance between 5 and 8 NM is allowed when permitted by ATC. 
Flight 1951 was vectored for a line up at approximately 6 NM at an altitude of 2000 feet. The glide slope was now approached from above.
The crew performed the approach with one of the two autopilot and autothrottle engaged. 
The landing gear was selected down and flaps 15 were set. While descending through 1950 feet, the radio altimeter value suddenly changed to -8 feet. And again the aural landing gear warning sounded.
This could be seen on the captain’s (left-hand) primary flight display. The first officer’s (right-hand) primary flight display, by contrast, indicated the correct height, as provided by the right-hand system. The left hand radio altimeter system, however, categorised the erroneous altitude reading as a correct one, and did not record any error. In turn, this meant that it was the erroneous altitude reading that was used by various aircraft systems, including the autothrottle. The crew were unaware of this, and could not have known about it. The manuals for use during the flight did not contain any procedures for errors in the radio altimeter system. In addition, the training that the pilots had undergone did not include any detailed system information that would have allowed them to understand the significance of the problem.
When the aircraft started to follow the glidepath because of the incorrect altitude reading, the autothrottle moved into the ‘retard flare’ mode. This mode is normally only activated in the final phase of the landing, below 27 feet. This was possible because the other preconditions had also been met, including flaps at (minimum) position 15. The thrust from both engines was accordingly reduced to a minimum value (approach idle). This mode was shown on the primary flight displays as ‘RETARD’. However, the right-hand autopilot, which was activated, was receiving the correct altitude from the right-hand radio altimeter system. Thus the autopilot attempted to keep the aircraft flying on the glide path for as long as possible. This meant that the aircraft’s nose continued to rise, creating an increasing angle of attack of the wings. This was necessary in order to maintain the same lift as the airspeed reduced.
In the first instance, the pilots’ only indication that the autothrottle would no longer maintain the pre-selected speed of 144 knots was the RETARD display. When the speed fell below this value at a height of 750 feet, they would have been able to see this on the airspeed indicator on the primary flight displays. When subsequently, the airspeed reached 126 knots, the frame of the airspeed indicator also changed colour and started to flash. The artificial horizon also showed that the nose attitude of the aircraft was becoming far too high. The cockpit crew did not respond to these indications and warnings. The reduction in speed and excessively high pitch attitude of the aircraft were not recognised until the approach to stall warning (stick shaker) went off at an altitude of 460 feet. 
The first officer responded immediately to the stick shaker by pushing the control column forward and also pushing the throttle levers forward. The captain however, also responded to the stick shaker commencing by taking over control. Assumingly the result of this was that the first officer’s selection of thrust was interrupted. The result of this was that the autothrottle, which was not yet switched off, immediately pulled the throttle levers back again to the position where the engines were not providing any significant thrust. Once the captain had taken over control, the autothrottle was disconnected, but no thrust was selected at that point. Nine seconds after the commencement of the first approach to stall warning, the throttle levers were pushed fully forward, but at that point the aircraft had already stalled and the height remaining, of about 350 feet, was insufficient for a recovery.
According to the last recorded data of the digital flight data recorder the aircraft was in a 22° ANU and 10° Left Wing Down (LWD) position at the moment of impact.
The airplane impacted farmland. The horizontal stabilizer and both main landing gear legs were separated from the aircraft and located near the initial impact point. The left and right engines had detached from the aircraft.
The aft fuselage, with vertical stabilizer, was broken circumferentially forward of the aft passenger doors and had sustained significant damage. The fuselage had ruptured at the right side forward of the wings. The forward fuselage section, which contained the cockpit and seat rows 1 to 7, had been significantly disrupted. The rear fuselage section was broken circumferentially around row 28.";10:26;Boeing 737-8F2;THY Turkish Airlines;Wednesday 25 February 2009
